shade_name,color_family,finish,L_star,a_star,b_star,hue_deg,saturation,brightness,wax_pct,emollient_oil_pct,mattifying_agent_pct,film_former_pct,pigment_pct,additives_pct
Honey Mulberry,Orange,Glossy,60.14,27.79,26.02,43.12,57.1,54.97,2.29,78.17,0,10.81,6.55,2.18
Crimson Bloom,Nude,Glasting,66.01,11.08,21.76,63.02,36.63,60.49,2.34,57.36,0,33.57,4.6,2.13
Nude Crush,Pink,Satin,67.99,32.38,8.83,15.25,50.34,66.21,10.47,74.56,0.73,4.35,7.66,2.23
Plum Crush,Peach,Glasting,67.52,9.48,20.29,64.96,33.59,65.83,1.82,64.53,0,26.26,5.33,2.06
Crush Mulberry,Plum,Glasting,32.32,32.06,10.15,17.57,50.44,32.69,1.89,58.29,0,32.84,5.33,1.65
Sunset Wood,Pink,Glossy,52.92,36.69,4.93,7.65,55.53,52.96,4.06,72.85,0,15.87,5.18,2.04
Rust Rosewood,Peach,Matte,65.71,6.63,12.24,61.56,20.88,62.63,13.59,65.42,4.66,5.54,8.61,2.18
Brick Mousse,Pink,Glasting,60.45,21.42,10.12,25.29,35.54,59.84,2.33,61.11,0,30.78,4.25,1.53
Roast,Nude,Satin,70.09,6.06,21.28,74.1,33.19,68.21,10.65,74.4,0.87,5.98,6.5,1.6
Rust Kiss,Nude,Satin,63.83,13.31,14.97,48.36,30.05,61.4,10.56,72.74,0.81,7.04,6.86,1.99
Deep Berry Mist,Nude,Glossy,69.27,13.9,12.16,41.18,27.7,63.24,2.44,78.15,0,10.02,6.6,2.79
Berry Mousse,Nude,Matte,64.78,7.65,16.49,65.11,27.27,60.42,12.58,67.71,4.45,3.52,9.25,2.49
Toffee Cloud,Orange,Matte,65.77,47.43,24.62,27.43,80.16,61.7,12.1,66.2,4.05,3.71,11.95,1.99
Blush Glow,Mauve,Satin,58.4,23.35,5.22,12.6,35.89,53.06,8.2,73.79,0.58,5.84,8.97,2.62
Deep Berry Temptation,Pink,Glasting,57.53,37.25,13.73,20.23,59.55,56.53,1.95,61.56,0,30.11,4.72,1.66
Cappucino Dream,Brown,Glasting,48.4,29.94,19.96,33.69,53.98,43.52,2.01,63.66,0,26.35,5.31,2.67
Blossom Radiance,Nude,Glasting,61.37,12.58,8.68,34.61,22.93,56.99,2.73,60.83,0,29.66,3.83,2.95
Caramel Glow,Nude,Glasting,70.35,14.46,18.69,52.27,35.45,66.03,1.12,63.46,0,29.21,3.68,2.53
Blossom Silk,Red,Glasting,38.31,44.72,16.47,20.22,71.48,36.42,1.98,64.63,0,26.59,5.18,1.62
Bordeaux,Nude,Matte,71.85,13.85,9.66,34.89,25.33,71.11,14.43,64.74,4.23,4.9,9.38,2.32
Roast Spell,Mauve,Matte,63.59,21.98,8.62,21.41,35.41,60.41,13.3,61.8,7.48,4.36,10.65,2.41
Roast Pout,Coral,Matte,54.38,45.54,24.8,28.57,77.78,54.25,12.4,61.28,6.46,4.95,12.26,2.65
Dusk Mist,Red,Matte,43.62,43.72,24.8,29.56,75.4,41.82,14.88,64.41,4.75,3.69,10.26,2.01
Mahogany Bloom,Coral,Glasting,62.78,47.54,33.67,35.31,87.38,61.42,1.91,65.73,0,26.76,3.46,2.14
Sangria Bloom,Nude,Satin,61.72,13.52,21.61,57.97,38.24,59.1,10.16,73.34,1.06,7.23,6.61,1.6
Dusty Silk,Mauve,Glasting,53.07,30.58,10.06,18.21,48.29,52.46,2.66,65.63,0,26.77,2.33,2.61
Chestnut Cloud,Red,Matte,42.02,36.69,25.04,34.31,66.63,40.59,15.25,61.2,5.95,4.68,10.93,1.99
Mahogany Silk,Pink,Glossy,59.34,29.22,14.98,27.14,49.25,56.24,2.37,76.6,0,13.99,4.41,2.63
Orange Cloud,Red,Satin,42.81,44.26,25.93,30.36,76.94,41.72,10.97,69.45,1.58,6.1,9.87,2.03
Light Pink Chiffon,Coral,Glossy,67.72,42.74,36.1,40.19,83.92,65.48,3.73,76.64,0,13.94,3.85,1.84
Crimson Cloud,Plum,Glasting,40.09,40.69,8.1,11.26,62.23,36.81,1.22,62.24,0,28.94,4.96,2.64
Velvet Delight,Orange,Matte,67.68,43.82,41.09,43.16,90.11,66.12,14.3,57.99,6.83,5.92,12.23,2.73
Chestnut Nectar,Pink,Glasting,53.85,34.56,5.52,9.07,52.5,51.53,2.23,64.42,0,26.21,4.25,2.89
Blush Mousse,Orange,Glossy,66.96,45.2,31.55,34.92,82.68,61.81,4.49,77.81,0,11.08,4.07,2.55
Berry Brick,Terracotta,Glasting,44.18,27.56,25.61,42.9,56.43,39.19,1.62,66.34,0,26.05,3.19,2.8
Jazz Divine,Mauve,Matte,53.16,36.39,14.96,22.35,59.02,49.88,14.27,65.17,5.4,4.9,8.71,1.55
Crimson Mulberry,Coral,Satin,67.39,46.3,39.53,40.49,91.32,61.08,10.48,73.77,0.82,5.19,7.68,2.06
Velvet Glow,Terracotta,Glasting,46.03,22.72,22.26,44.41,47.71,43.87,2.44,60.67,0,30.54,4.72,1.63
Terracotta Radiance,Nude,Glossy,60.7,6.46,10.27,57.83,18.2,57.42,2.16,77.99,0,13.71,3.63,2.51
Roast Pop,Pink,Glasting,63.63,21.51,13.13,31.4,37.8,62.83,1.54,62.09,0,29.89,4.32,2.16
Cinnamon Radiance,Plum,Glossy,37.21,23.91,11.74,26.15,39.96,35.21,2.82,78.34,0,10.68,6.02,2.14
Peachy Truffle,Coral,Satin,67.26,31.94,36.46,48.78,72.71,60.97,8.63,74,1.52,6.33,7.95,1.57
Pecan Spark,Mauve,Glasting,51.12,20.36,5.99,16.39,31.83,48,1.79,66.1,0,26.06,4.1,1.95
Brick Mist,Berry,Satin,41.5,40.81,3.15,4.41,61.4,37.75,8.34,77.27,0.71,5.15,7.02,1.51
Wine Spark,Pink,Satin,59.89,27.42,8.99,18.15,43.28,57.88,10.49,72.52,0.76,6.46,7.52,2.25
Latte Souffle,Nude,Glasting,66.34,15.24,15.36,45.22,32.46,63.19,2.67,63.14,0,26.58,4.82,2.79
Ruby Crush,Peach,Glasting,59.57,15.77,20.64,52.62,38.96,54.8,1.08,60.69,0,33.37,2.07,2.79
Brick Truffle,Plum,Matte,38.16,32.26,4.4,7.77,48.84,33.6,14.3,62.22,6.01,4.25,11.55,1.67
Amber Mist,Peach,Glasting,63.54,15.61,18.44,49.75,36.24,60.83,1.04,60.98,0,32.41,3.14,2.43
Maple Fudge,Berry,Glossy,31.15,41.88,11.08,14.82,64.98,27.01,4.5,75.52,0,10.53,6.68,2.77
Jazz Blaze,Red,Glossy,51.63,46.86,23.41,26.55,78.57,52.01,2.73,76.68,0,13.14,5.36,2.09
Orange Truffle,Mauve,Matte,66.32,25.51,10.88,23.1,41.6,63.97,13.24,66.13,5.19,3.5,9.67,2.27
Espresso Blaze,Brown,Matte,46.26,18.03,20.6,48.81,41.06,44.12,12.46,62.59,5.78,4.05,12.53,2.59
Sangria Chiffon,Coral,Satin,64.1,47.51,31.26,33.34,85.31,62.21,10.78,74.24,1.72,4.51,6.95,1.8
Cinnamon Delight,Nude,Matte,61.22,10.99,10.17,42.78,22.46,56.29,14.41,61.46,6.66,3.53,11.28,2.66
Sangria,Red,Glasting,46.22,46.14,33.72,36.16,85.72,46.24,1.99,59.12,0,32.08,4.64,2.17
Silk Dusk,Red,Glasting,46.42,52.06,19.89,20.91,83.6,41.36,2.85,59.65,0,31.08,3.98,2.44
Chestnut Chiffon,Red,Matte,47.82,49.85,17.8,19.65,79.4,48.39,15.46,64.23,6.2,3.2,8.75,2.16
Dusty Bite,Berry,Satin,40.76,35.45,2.49,4.02,53.31,37.53,8.71,76.41,0.91,5.78,6.22,1.97
Glow Mulberry,Nude,Glossy,63.98,11.44,21.61,62.1,36.68,63.43,3.36,76.8,0,14.99,3.23,1.62
Sienna Temptation,Peach,Matte,62.46,10.41,10.09,44.11,21.75,58.6,15.46,59.76,6.99,4.52,11.08,2.19
Bordeaux Delight,Orange,Glossy,65.59,31.92,36.15,48.56,72.34,64.15,3.66,72.62,0,15.38,6.17,2.17
Berry Spell,Nude,Glossy,63.83,11.89,13.44,48.5,26.92,59.17,4.43,75.82,0,11.93,5.61,2.21
Ruby Brick,Pink,Matte,64.93,19.03,6.9,19.93,30.36,62.31,12.6,66.94,4.22,5.7,8.52,2.02
Latte Charm,Pink,Satin,66.36,22.24,4.47,11.36,34.03,64.49,10.36,74.66,1.26,4.87,6.69,2.16
Wine Pout,Terracotta,Satin,52.52,26.96,18.35,34.24,48.92,48.33,9.26,75.61,1.28,5.3,6.63,1.92
Plum Pop,Red,Glasting,44.07,40.26,20.23,26.68,67.59,41.94,1.82,61.54,0,30.78,3.18,2.68
Sangria Pout,Pink,Matte,55.76,22.06,6.07,15.38,34.32,50.25,14.59,65.74,4.23,5.04,8.47,1.93
Velvet Souffle,Berry,Glasting,41.78,35.7,1.6,2.57,53.6,41.62,2.45,57.19,0,33.25,4.3,2.81
Sangria Dream,Nude,Glasting,68.26,9.58,9.96,46.11,20.73,65.13,1.67,65.14,0,27.13,4.04,2.02
Jazz Delight,Red,Satin,51.27,44.05,31.78,35.81,81.48,46.15,11.37,70.52,1.55,6.08,7.57,2.91
Sienna Silk,Red,Glasting,42.01,51.38,19.63,20.91,82.5,41.15,1.62,60.01,0,32.33,3.32,2.72
Caramel Kiss,Red,Satin,41.34,46.21,28.34,31.52,81.31,39.97,10.18,70.43,1.74,6.4,8.96,2.29
Espresso Spell,Coral,Glossy,52.27,41.61,32.71,38.17,79.39,48.38,3.94,77.16,0,12.17,4.69,2.04
Brick Fudge,Nude,Glossy,70.74,6.39,9.35,55.65,16.99,65.1,2.54,75.68,0,15.69,3.86,2.23
Milk Tea Jam,Nude,Glossy,59.11,17.47,14.43,39.56,33.99,54.61,2.68,80.54,0,10.46,3.55,2.77
Orange Temptation,Nude,Matte,58.79,5.12,10.4,63.79,17.39,55.85,12.4,61.51,6.7,5.65,12.18,1.56
Cinnamon Charm,Brown,Satin,55.44,16.62,20.45,50.9,39.53,49.92,8.85,75.92,1.65,5.32,6.52,1.74
Latte Bite,Berry,Satin,30.84,23.49,10.96,25.01,38.88,31.69,10.83,71.53,1.66,4.58,9.24,2.16
Plum Bloom,Coral,Glossy,61.39,42.3,36.25,40.6,83.56,57.71,3.23,77.46,0,11.43,5.71,2.17
Peachy Bite,Brown,Glossy,47,30.24,17.31,29.79,52.27,46.18,2.85,76.17,0,12.69,5.99,2.3
Terracotta Brick,Brown,Satin,57.54,15.91,18.99,50.04,37.16,56.7,8.74,72.7,1.71,6.92,7.88,2.05
Roast Breeze,Brown,Glossy,45.87,25.78,24.54,43.59,53.39,43.28,4.84,73.53,0,12.77,6.94,1.92
Dusty Glaze,Nude,Satin,63.26,7.41,16.2,65.42,26.72,59.38,9.03,70.25,1.29,6.86,9.87,2.7
Carnation Pop,Brown,Satin,52.84,16.39,14.47,41.44,32.8,51.47,8.05,73.12,0.88,7.06,8.56,2.33
Crush Wood,Red,Matte,40.38,34.45,15.1,23.67,56.42,37.21,12.41,61.87,6.96,3.86,12.26,2.64
Nude Mulberry,Nude,Glasting,65.8,11.66,9.45,39.02,22.51,60.05,1.55,63.94,0,27.18,5.17,2.16
Blush Brick,Coral,Glossy,64.55,44.87,22.25,26.38,75.13,60.81,4.84,76.54,0,12.71,3.89,2.02
Carnation Brick,Berry,Glasting,40.07,41.85,1.4,1.92,62.81,38.19,1.05,64.89,0,30.02,2.19,1.85
Maroon,Nude,Satin,61.76,8.49,10.04,49.78,19.72,56.68,11.48,71.33,1.06,7.26,6.11,2.76
Peachy Dream,Peach,Matte,60.74,6.39,12.27,62.49,20.75,60.4,14.6,63.34,6.77,3.86,8.69,2.74
Roast Temptation,Brown,Glossy,45.93,20.69,25.05,50.45,48.73,45.79,4.09,75.95,0,14.23,3.56,2.17
Silk Blaze,Pink,Satin,60.86,31.91,8.23,14.46,49.43,55.88,7.52,75.6,0.62,6.92,7.02,2.32
Honey Dream,Coral,Satin,64.51,32.5,27.61,40.35,63.97,63,10.41,74.9,1.29,5.01,6.44,1.95
Ruby Velvet,Red,Matte,38.4,54.94,18.6,18.7,87,38.09,12.19,64.33,5.47,4.37,11.97,1.67
Peach Satin,Nude,Satin,60.94,15.37,19.64,51.95,37.41,55.31,11.12,73.75,1.4,5.8,6.07,1.86
Burgundy Fudge,Orange,Glasting,53.18,47.79,31.58,33.46,85.92,49.93,1.29,62.43,0,30.92,3.5,1.86
Brick Divine,Red,Matte,48.44,40.27,32.91,39.26,78.01,46.24,13.67,64.05,6.33,5.92,8.43,1.6
Velvet Breeze,Nude,Satin,62.64,15.35,9.48,31.7,27.06,57.1,9.6,71.16,1.26,5.94,9.95,2.09
Dusty Radiance,Red,Glossy,44.49,47.82,19.42,22.1,77.42,41.51,3.41,73.28,0,15.89,5.54,1.88
Sangria Wood,Brown,Satin,46.18,28.33,20.34,35.68,52.31,42.96,7.56,74.37,1.68,6.57,7.38,2.44
Roast Glow,Nude,Satin,60.3,17.79,11.41,32.67,31.7,55.33,10.59,74,1.6,4.16,7.33,2.32
Cappucino Charm,Brown,Satin,57.25,18.94,18.48,44.3,39.69,52.49,10.75,71.2,0.76,5.63,9.12,2.54
Crush Fudge,Nude,Glasting,68.32,16.48,14.29,40.93,32.72,64.48,2.26,63.74,0,26.5,4.84,2.66
Bordeaux Crush,Coral,Matte,64.79,37.35,29.32,38.13,71.23,59.73,13.83,67.76,5.03,3.6,8.22,1.56
Coral Nectar,Peach,Satin,64.85,17.56,12.39,35.21,32.24,60.94,11.23,69.76,1.27,5.9,9.96,1.88
Blossom Velvet,Nude,Matte,69.84,13.03,19.39,56.1,35.04,67.58,15.01,62.4,4.67,5.34,9.78,2.8
Coral Mulberry,Coral,Matte,54.26,33.93,33.93,45,71.98,52,13.33,64.11,4.44,5.67,9.84,2.61
Espresso Mulberry,Pink,Glossy,58.81,20.81,6.09,16.31,32.52,55.58,4.68,72.69,0,15.84,4.55,2.24
Berry Glaze,Pink,Satin,58.72,21.9,6.99,17.7,34.48,56.15,9.49,71.15,1.89,6.8,8.08,2.59
Pecan Dream,Coral,Matte,59.87,41.33,30.88,36.77,77.39,54.88,12.32,62.84,6.11,4.64,12.11,1.98
Velvet Bloom,Pink,Glasting,53.97,18.65,4.92,14.78,28.93,50,1.16,63.68,0,28.45,4.31,2.4
Carnation Satin,Coral,Glossy,64.36,36.39,32.22,41.52,72.91,61.58,3.28,77.29,0,12.11,5.76,1.56
Tomato Delight,Nude,Glossy,63.14,15.69,8.58,28.67,26.82,61.3,4.61,73.08,0,15.99,4.41,1.91
Espresso Kiss,Brown,Glossy,41.84,29.11,24.02,39.53,56.61,38.53,4.94,75.36,0,10.45,6.79,2.46
Nude Truffle,Brown,Satin,42.11,28.8,15.36,28.07,48.96,41.43,8.95,71.59,1.7,7.33,8.72,1.71
Honey Glaze,Brown,Glasting,50.98,22.28,21.86,44.45,46.82,50.14,2.22,65.17,0,26.28,4.73,1.6
Latte Silk,Nude,Matte,65.45,12.76,10.36,39.07,24.65,65.05,15.11,62.59,5.28,4.7,9.91,2.41
Deep Berry Pop,Pink,Glasting,67.14,28.29,13.7,25.84,47.15,65.67,2.36,60.7,0,28.98,5.32,2.64
Tomato Blaze,Nude,Satin,59.86,6.9,12.51,61.12,21.43,55.35,9.8,73.18,1.29,6.27,7.59,1.87
Maroon Breeze,Mauve,Glasting,60.39,23.37,7.38,17.53,36.76,57.08,1.23,62.13,0,29.99,4.57,2.08
Crush Brick,Peach,Satin,68.5,14.03,20.28,55.32,36.99,64.8,9.75,73.77,0.89,5.56,7.04,2.99
Amber Glaze,Brown,Matte,54.32,21.76,27.49,51.64,52.59,53.55,13.14,63.04,7.21,3.37,10.46,2.78
Crimson Jam,Terracotta,Matte,45.1,24.3,14.09,30.11,42.13,44.96,13.81,63.03,7.15,3.26,10.23,2.52
Cinnamon Rosewood,Coral,Satin,66.55,45.29,28.04,31.76,79.9,65.47,10.88,74.21,0.98,4.23,7.39,2.31
Tomato Brick,Peach,Glossy,61.51,9.83,20.65,64.54,34.31,56.43,4.67,71.76,0,14.27,6.41,2.89
Blossom Mist,Pink,Satin,63.59,26.58,3.19,6.84,40.16,57.98,10.05,74,1.69,4.42,8.04,1.8
Glow Chiffon,Red,Glossy,42.57,32.19,21.87,34.19,58.37,38.17,2.42,78.93,0,10.16,6.16,2.33
Cinnamon Blaze,Nude,Matte,61.21,6.16,19.28,72.28,30.36,55.77,13.48,62.48,6.81,4.84,10.76,1.63
Velvet Bare,Pink,Matte,52.95,25.02,4.77,10.79,38.21,51.79,13.24,60.44,7.5,4.58,11.59,2.65
Mocha Truffle,Brown,Satin,41.56,16.71,24.04,55.2,43.92,40.02,10.79,70.29,0.61,6.25,9.89,2.17
Orange Glaze,Red,Glossy,40.35,35.22,20.54,30.25,61.16,35.84,4.04,73.64,0,15.27,4.38,2.67
Blush Pop,Pink,Glossy,62.43,34.96,10.56,16.81,54.78,58.12,3.92,74.4,0,15.8,3.73,2.15
Blossom Pop,Nude,Glasting,68.97,15.32,11.35,36.53,28.6,64.84,2.82,66.27,0,26.99,2.19,1.73
Red Aura,Pink,Glasting,50.22,25.22,6.11,13.62,38.92,47.03,1.33,61.85,0,31.67,3.13,2.02
Velvet Divine,Brown,Matte,52.29,27.97,27.27,44.27,58.6,51.3,15.76,58.68,7.13,3.75,12.23,2.45
Latte Dusk,Peach,Matte,71.28,10.17,12.01,49.74,23.61,68.99,14.2,65,4.44,4.6,9.51,2.25
Carnation Divine,Red,Satin,41.84,46.73,25.75,28.86,80.03,37.66,8.17,74.41,1.91,6.31,6.62,2.58
Blossom Crush,Pink,Glasting,57.87,37.07,5.1,7.83,56.13,53.44,2.21,59.59,0,30.51,4.95,2.74
Toffee Blaze,Berry,Glasting,32.95,41.06,5.32,7.38,62.1,33,1.06,63.28,0,31.13,2.16,2.37
Terracotta Jam,Nude,Matte,59.65,16.7,12.69,37.23,31.46,56.24,14.6,61.47,6.68,4.92,10.08,2.25
Velvet Crush,Terracotta,Glossy,49.19,15.94,25.75,58.24,45.43,44.73,3.88,74,0,15.74,4.16,2.22
Cappucino Nectar,Nude,Matte,70.52,13.76,9.61,34.93,25.18,68.44,15.22,64.08,6.4,3.22,9.49,1.59
Caramel Dusk,Coral,Glasting,52.2,26.06,29.28,48.33,58.8,52.11,1.88,64.39,0,27.63,3.69,2.41
Jazz Dusk,Nude,Glasting,70.8,14.63,13.87,43.47,30.24,66.19,1.63,59.2,0,31.87,4.51,2.79
Red Bite,Brown,Glossy,49.04,30.33,14.87,26.12,50.67,48.41,4.93,76.99,0,12.22,3.52,2.34
Amber Bare,Brown,Glasting,45.25,28.34,23.83,40.06,55.54,41.44,1.64,64.72,0,28.14,3.63,1.87
Ruby Dream,Coral,Matte,64.41,41.85,32.93,38.2,79.88,62.97,12.39,65.95,5.02,4.85,9.92,1.87
Burgundy Bare,Pink,Glasting,50.43,28.83,10.27,19.61,45.91,49.07,2.73,63.72,0,28.62,2.56,2.37
Sunset Souffle,Pink,Glasting,67.3,37.45,3.85,5.87,56.47,62.61,1.63,61.44,0,29.99,4.67,2.27
Maple Chiffon,Pink,Satin,59.36,32.02,6.84,12.06,49.11,59.24,9.5,73.88,0.96,7.31,6.09,2.26
Nude Glow,Red,Satin,45.83,41.07,26.84,33.17,73.59,40.91,11.37,73.98,0.82,4.18,7.41,2.24
Rust Cloud,Orange,Matte,58.29,44.13,28.53,32.88,78.82,55.09,15.53,60.45,6.29,4.61,10.35,2.77
Mocha Velvet,Brown,Glasting,57.36,18.53,16.93,42.42,37.65,53.08,1.86,58.58,0,31.82,5.09,2.65
Maroon Mist,Pink,Matte,62.54,18.81,12.87,34.38,34.19,58.38,13.46,64.38,5.4,3.58,10.85,2.33
Nude Souffle,Terracotta,Matte,47.13,15.83,16.78,46.67,34.6,46.69,12.29,63.31,5.76,3.84,11.82,2.98
Jazz Bloom,Nude,Glasting,69.96,12.23,15.7,52.08,29.85,64.03,2.36,59.33,0,33.8,2.42,2.09
Pecan Brick,Coral,Satin,56.14,43.69,22.44,27.19,73.67,50.72,10.68,70.11,1.01,6.64,9.76,1.8
Pecan Truffle,Nude,Glasting,59.29,16.01,19.32,50.35,37.64,54.06,2.02,66.16,0,26.36,3.75,1.71
Velvet Fudge,Coral,Matte,58.32,25.68,35.66,54.24,65.92,53.44,13.33,63.64,5.66,4.82,10.28,2.27
Dusk Souffle,Berry,Glasting,38.98,39.66,4.71,6.77,59.91,34.56,1.66,63.9,0,27.3,4.15,2.99
Orange Blaze,Brown,Satin,51.57,28.55,15.99,29.25,49.08,51.96,10.46,72.04,0.95,6.9,7.35,2.3
Espresso Bloom,Brown,Matte,54.07,21.1,20.71,44.47,44.35,51.27,14.83,61.42,5.05,4.11,12.08,2.51
Velvet Radiance,Nude,Matte,61.79,5.34,16.36,71.92,25.81,55.88,15.92,58.35,6.04,5.18,11.98,2.53
Mahogany Aura,Peach,Glasting,66.18,8.03,10.23,51.87,19.51,61.36,1.05,58.88,0,33.74,3.66,2.67
Peachy Jam,Pink,Glasting,64.24,32.74,11.93,20.02,52.27,63.71,2.55,59.28,0,31.77,4.02,2.38
Velvet Temptation,Nude,Glasting,69.75,15.99,10.47,33.22,28.67,66.82,1.34,60.74,0,30.96,4.2,2.76
Wine Glaze,Nude,Satin,58.39,14.11,21.27,56.44,38.29,55.85,8.09,75.28,1.52,7.32,6.13,1.66
Crimson Delight,Peach,Glossy,64.87,6.17,11.26,61.28,19.26,59.94,2.06,80.24,0,10.91,4.25,2.54
Dusk Rosewood,Brown,Matte,46.13,18.02,24.84,54.04,46.03,46.03,13.64,58.83,6.71,5.62,12.6,2.6
Toffee Wood,Orange,Matte,65.54,44.8,41.21,42.61,91.31,61.5,12.25,67.76,4.48,3.98,9.04,2.49
Sienna Breeze,Orange,Matte,57.38,32.42,41.52,52.02,79.02,55.91,14.1,64.18,5.1,5.74,8.87,2.01
Cinnamon Dream,Brown,Satin,43.14,31.47,23.1,36.28,58.56,43.56,8.92,71.75,1.66,6.25,8.88,2.54
Milk Tea Chiffon,Brown,Glasting,54.66,21.43,23.74,47.93,47.97,50.69,2.22,64.8,0,27.97,2.67,2.34
Jazz Bare,Coral,Satin,67.18,34.01,41.89,50.93,80.94,66.61,8.4,75.63,1.96,5.01,7.19,1.81
Maple Mulberry,Red,Glasting,50.66,54.25,19.42,19.7,86.43,48.52,2.41,62.79,0,28.79,3.11,2.9
Crimson Wood,Brown,Matte,41.4,20.9,17.11,39.31,40.52,40.15,15.18,64.15,4.96,5.03,8.61,2.07
Nude Charm,Red,Matte,39.51,37.74,16.36,23.44,61.7,36.07,15.92,57.1,6.86,5.41,12.77,1.94
Chestnut Divine,Nude,Glasting,70.38,11.41,13.3,49.37,26.29,67.14,1.58,62.99,0,28.77,4.5,2.16
Pink Pout,Terracotta,Matte,50.4,27.89,15.61,29.24,47.94,47.59,13.03,64.76,5.68,4.62,9.01,2.9
Red Spell,Orange,Glasting,67.65,32.77,41.71,51.84,79.57,66.63,2.39,61.82,0,30.93,2.48,2.38
Toffee Bloom,Orange,Glossy,62.46,38.97,30.68,38.21,74.4,56.66,2.73,75.94,0,13.19,5.68,2.46
Roast Kiss,Coral,Matte,58.55,37.74,40.51,47.03,83.05,55.86,12.21,64.79,5.45,3.3,11.59,2.66
Ruby Bare,Pink,Matte,55.3,31.24,9.8,17.42,49.11,50.73,12.02,62.28,5.93,4.22,12.65,2.9
Deep Berry Brick,Terracotta,Glasting,42.08,28.34,19.54,34.59,51.64,42.35,2.76,63.02,0,27.6,3.67,2.95
Rust Brick,Red,Glossy,41.59,40.53,22.63,29.18,69.63,37.63,2.96,74.38,0,15.45,5.58,1.63
Maple Nectar,Plum,Glasting,34.74,38.74,5.9,8.66,58.78,30.91,2.15,59.29,0,31.78,3.87,2.91
Bordeaux Chiffon,Nude,Glasting,69.77,15.64,13.86,41.55,31.35,66.49,2.83,59.74,0,33.06,2.61,1.76
Mahogany Bite,Berry,Matte,38.57,23.58,10.64,24.29,38.8,37.93,15.68,59.46,7.49,4.49,9.98,2.9
Brick Bite,Coral,Satin,64.81,40.58,34.41,40.3,79.81,59.29,11.35,70.87,1.89,4.03,9.51,2.35
Cappucino Kiss,Nude,Satin,59.77,10.5,21.84,64.32,36.35,56.39,7.93,73.19,1.97,7.46,7.14,2.31
Red Brick,Peach,Glossy,63.56,9.24,11.87,52.1,22.56,60.13,3.48,72.46,0,15.11,6.75,2.2
Caramel Aura,Pink,Satin,52.03,20.99,9.37,24.06,34.48,49.92,8.27,76.91,0.67,5.61,6.65,1.89
Pink Pop,Red,Glasting,49.96,52.19,20.28,21.24,83.99,48.39,1.37,59.37,0,32.33,4.58,2.35
Peach Charm,Pink,Satin,55.45,23.61,8.39,19.56,37.58,53.85,10.53,69.41,0.76,7.14,9.42,2.74
Wine Truffle,Orange,Satin,57.13,41.76,34.1,39.23,80.87,51.81,9.56,74.77,0.63,4.65,8.68,1.71
Chestnut Kiss,Brown,Satin,47.33,23.24,20.26,41.08,46.25,44.21,8.79,75.85,0.87,4.82,7.04,2.63
Berry Radiance,Nude,Glossy,58.92,14.22,13.65,43.83,29.57,57.66,4.86,75.07,0,14.34,4.21,1.52
Rose Rosewood,Red,Satin,39.24,42.5,33.36,38.13,81.04,38.51,10.11,75.73,1.54,4.41,6.25,1.96
Tomato Spark,Terracotta,Satin,49.09,25.8,13.98,28.45,44.02,43.82,9.12,71.62,1.25,6.46,9.58,1.97
Jazz Pout,Coral,Matte,57.6,28.76,39.89,54.21,73.77,56.21,12.47,64.17,7.21,4.84,9.48,1.83
Orange,Nude,Matte,66.01,17.54,20,48.75,39.9,63.59,12.53,64.25,4.54,4.82,11.74,2.12
Carnation Bare,Brown,Glasting,42.38,17.94,24.81,54.13,45.92,38.6,2.1,61.45,0,30.3,3.65,2.5
Silk Mist,Nude,Satin,67.93,8.58,20.54,67.33,33.39,66.64,8.37,73.06,0.87,7.06,9.02,1.62
Light Pink Aura,Nude,Glasting,63.56,6.33,15.16,67.34,24.64,61.36,1.89,64.68,0,26.62,4.46,2.35
Ruby Spell,Red,Matte,45.35,38.86,17.16,23.83,63.72,40.47,12.25,64.86,5.92,4.72,10.53,1.72
Tomato Cloud,Nude,Matte,61.66,14.24,20.49,55.2,37.43,57.37,13.31,66.3,5.82,3.62,8.58,2.37
Burgundy Aura,Brown,Glasting,56.19,28.69,24.84,40.89,56.92,53.98,1.18,60.38,0,32.47,3.79,2.18
Sienna Cloud,Brown,Glossy,52.98,26.14,27.96,46.93,57.41,48.89,3.54,79.09,0,10.35,4.83,2.19
Mocha Breeze,Nude,Satin,58.49,14.2,16.01,48.43,32.1,53.7,10.73,70.63,1.58,6.86,7.58,2.62
Crush Pout,Red,Glossy,46.42,43.67,31.91,36.16,81.13,46.14,3.73,79.42,0,12.07,3.18,1.6
Sangria Spell,Peach,Satin,60.56,13.84,12.7,42.54,28.18,55.07,11.48,71.52,1.9,7.27,6.28,1.55
Light Pink Divine,Red,Satin,40.63,37.99,20.88,28.79,65.02,40.71,9.14,70.26,1.65,7.42,9.06,2.47
Glow Crush,Pink,Matte,53.5,20.4,10.85,28.01,34.66,51,13.68,60.47,7.47,5.61,9.91,2.86
Mocha Silk,Brown,Glossy,42.71,31.87,17.48,28.74,54.52,43.5,3.13,74.86,0,13.97,5.73,2.31
Amber Wood,Berry,Glasting,42.88,37.58,4.83,7.32,56.83,41.52,2.31,64.73,0,27.43,3.22,2.31
Jazz Cloud,Pink,Satin,50.08,23.47,11.9,26.89,39.47,45.59,9.62,76.36,1.59,4.01,6.89,1.53
Bordeaux Mousse,Coral,Satin,64.22,27.02,34.29,51.76,65.48,61.81,8.69,73.02,1.51,5.86,8.18,2.74
