profile_id,region,shade,skin_tone,undertone,lip_pigmentation,lip_condition,hedonic_scale,preference
P001,Jawa Barat,Caramel,Light,Olive,Dark / Hyperpigmented,Dry,5,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Everyday
P173,Sulawesi Selatan,Berry Pink,Light,Warm,Dark / Hyperpigmented,Textured / Lines,3,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Soft | Occasion: Everyday
P174,Bali,Berry Pink,Light,Warm,Medium,Dry,7,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Fresh | Occasion: Date
P175,Jawa Tengah,Berry Pink,Fair,Warm,Light,Dry,7,Color: Brown | Intensity: Natural | Finish: Satin | Mood: Elegant | Occasion: Campus / Work
P176,Jawa Tengah,Berry Pink,Fair,Warm,Dark / Hyperpigmented,Normal,4,Color: Red | Intensity: Bold | Finish: Matte | Mood: Energetic | Occasion: Campus / Work
P177,Jawa Timur,Berry Pink,Fair,Warm,Dark / Hyperpigmented,Chapped,7,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Bold | Occasion: Everyday
P178,Jawa Timur,Berry Pink,Medium,Warm,Dark / Hyperpigmented,Normal,6,Color: Berry | Intensity: Natural | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P179,Banten,Berry Pink,Fair,Warm,Light,Normal,5,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Everyday
P180,Jawa Barat,Berry Pink,Light,Cool,Medium,Chapped,5,Color: Mauve | Intensity: Medium | Finish: Matte | Mood: Fun | Occasion: Special occasion
P181,Jawa Tengah,Cherry Berry,Light,Warm,Medium,Normal,7,Color: Nude | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Everyday
P182,DKI Jakarta,Cherry Berry,Medium,Warm,Medium,Dry,6,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Fun | Occasion: Party
P183,Jawa Barat,Cherry Berry,Medium,Warm,Dark / Hyperpigmented,Dry,6,Color: Berry | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Campus / Work
P184,Banten,Cherry Berry,Tan,Neutral,Medium,Normal,6,Color: Berry | Intensity: Medium | Finish: Glossy | Mood: Fun | Occasion: Special occasion
P185,Kalimantan Timur,Cherry Berry,Medium,Warm,Light,Chapped,3,Color: Pink | Intensity: Bold | Finish: Matte | Mood: Bold | Occasion: Special occasion
P186,Jawa Tengah,Cherry Berry,Deep,Cool,Light,Normal,6,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Party
P187,DI Yogyakarta,Cherry Berry,Light,Cool,Dark / Hyperpigmented,Chapped,4,Color: Pink | Intensity: Medium | Finish: Glowy | Mood: Energetic | Occasion: Date
P188,Sumatera Utara,Cherry Berry,Light,Warm,Light,Textured / Lines,6,Color: Mauve | Intensity: Natural | Finish: Matte | Mood: Fresh | Occasion: Everyday
P189,DI Yogyakarta,Cherry Berry,Medium,Neutral,Light,Textured / Lines,7,Color: Berry | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Special occasion
P190,Sulawesi Selatan,Cherry Berry,Light,Warm,Medium,Normal,6,Color: Pink | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Party
P191,DKI Jakarta,Cherry Berry,Fair,Cool,Light,Normal,5,Color: Coral | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Special occasion
P192,Jawa Tengah,Cherry Berry,Light,Warm,Dark / Hyperpigmented,Normal,4,Color: Mauve | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Special occasion
P193,Sumatera Utara,Cherry Berry,Medium,Olive,Dark / Hyperpigmented,Normal,9,Color: Coral | Intensity: Bold | Finish: Satin | Mood: Fun | Occasion: Special occasion
P194,Kalimantan Timur,Cherry Berry,Fair,Warm,Medium,Normal,9,Color: Nude | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P195,Banten,Cherry Berry,Light,Neutral,Light,Normal,6,Color: Berry | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Campus / Work
P196,Kalimantan Timur,Cherry Berry,Medium,Cool,Dark / Hyperpigmented,Dry,7,Color: Pink | Intensity: Natural | Finish: Matte | Mood: Fresh | Occasion: Special occasion
P197,Jawa Tengah,Cherry Berry,Medium,Neutral,Medium,Dry,5,Color: Terracotta | Intensity: Medium | Finish: Glossy | Mood: Soft | Occasion: Date
P198,Banten,Cherry Berry,Light,Warm,Two-Toned,Normal,6,Color: Pink | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Special occasion
P199,DKI Jakarta,Cherry Berry,Light,Cool,Dark / Hyperpigmented,Dry,7,Color: Coral | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Special occasion
P200,Bali,Cherry Berry,Medium,Neutral,Dark / Hyperpigmented,Chapped,6,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Party
P201,Jawa Barat,Burnt Terracotta,Light,Olive,Two-Toned,Normal,4,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P202,DI Yogyakarta,Burnt Terracotta,Medium,Olive,Light,Dry,4,Color: Nude | Intensity: Natural | Finish: Satin | Mood: Energetic | Occasion: Campus / Work
P203,Jawa Timur,Burnt Terracotta,Tan,Olive,Two-Toned,Dry,7,Color: Coral | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Party
P204,DI Yogyakarta,Burnt Terracotta,Tan,Neutral,Medium,Chapped,6,Color: Red | Intensity: Medium | Finish: Satin | Mood: Elegant | Occasion: Special occasion
P205,Sumatera Utara,Burnt Terracotta,Light,Warm,Light,Dry,5,Color: Terracotta | Intensity: Bold | Finish: Matte | Mood: Fun | Occasion: Everyday
P206,Bali,Burnt Terracotta,Light,Neutral,Light,Normal,8,Color: Berry | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Party
P207,DI Yogyakarta,Burnt Terracotta,Light,Cool,Dark / Hyperpigmented,Dry,6,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Energetic | Occasion: Campus / Work
P208,Kalimantan Timur,Burnt Terracotta,Light,Warm,Dark / Hyperpigmented,Normal,6,Color: Berry | Intensity: Natural | Finish: Glowy | Mood: Fresh | Occasion: Campus / Work
P209,DI Yogyakarta,Burnt Terracotta,Tan,Neutral,Two-Toned,Normal,7,Color: Terracotta | Intensity: Bold | Finish: Matte | Mood: Fun | Occasion: Date
P210,Sumatera Utara,Burnt Terracotta,Medium,Warm,Medium,Dry,5,Color: Berry | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Everyday
P211,Sulawesi Selatan,Burnt Terracotta,Light,Neutral,Light,Normal,8,Color: Brown | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Campus / Work
P212,Jawa Tengah,Burnt Terracotta,Light,Warm,Medium,Normal,6,Color: Red | Intensity: Medium | Finish: Satin | Mood: Soft | Occasion: Special occasion
P213,Jawa Timur,Burnt Terracotta,Light,Neutral,Light,Textured / Lines,6,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Fun | Occasion: Special occasion
P214,Kalimantan Timur,Burnt Terracotta,Medium,Warm,Medium,Chapped,6,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Soft | Occasion: Party
P215,Jawa Barat,Burnt Terracotta,Medium,Warm,Two-Toned,Normal,7,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Energetic | Occasion: Special occasion
P216,DKI Jakarta,Burnt Terracotta,Tan,Cool,Medium,Dry,5,Color: Pink | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Everyday
P217,DKI Jakarta,Burnt Terracotta,Light,Warm,Dark / Hyperpigmented,Normal,5,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Special occasion
P218,Sulawesi Selatan,Burnt Terracotta,Fair,Olive,Dark / Hyperpigmented,Textured / Lines,8,Color: Mauve | Intensity: Bold | Finish: Matte | Mood: Fun | Occasion: Special occasion
P219,Jawa Tengah,Burnt Terracotta,Medium,Warm,Dark / Hyperpigmented,Normal,5,Color: Mauve | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Party
P220,Jawa Barat,Burnt Terracotta,Light,Cool,Medium,Dry,5,Color: Pink | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Campus / Work
P221,Bali,Coral,Tan,Olive,Dark / Hyperpigmented,Chapped,5,Color: Red | Intensity: Medium | Finish: Glossy | Mood: Energetic | Occasion: Party
P222,DI Yogyakarta,Coral,Medium,Cool,Light,Dry,4,Color: Nude | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Date
P223,Jawa Barat,Coral,Medium,Cool,Light,Normal,5,Color: Terracotta | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Special occasion
P224,Jawa Timur,Coral,Medium,Warm,Dark / Hyperpigmented,Dry,9,Color: Pink | Intensity: Bold | Finish: Satin | Mood: Energetic | Occasion: Date
P225,DI Yogyakarta,Coral,Medium,Warm,Dark / Hyperpigmented,Dry,5,Color: Pink | Intensity: Medium | Finish: Glowy | Mood: Bold | Occasion: Date
P226,Jawa Timur,Coral,Light,Neutral,Dark / Hyperpigmented,Dry,7,Color: Pink | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Date
P227,DKI Jakarta,Coral,Medium,Neutral,Medium,Chapped,6,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Energetic | Occasion: Party
P228,Jawa Tengah,Coral,Light,Neutral,Dark / Hyperpigmented,Normal,5,Color: Red | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Everyday
P229,Sulawesi Selatan,Coral,Light,Neutral,Light,Chapped,6,Color: Nude | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Campus / Work
P230,Kalimantan Timur,Coral,Medium,Cool,Light,Normal,6,Color: Red | Intensity: Natural | Finish: Satin | Mood: Bold | Occasion: Special occasion
P231,Jawa Timur,Coral,Medium,Warm,Medium,Dry,6,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Campus / Work
P232,Bali,Coral,Medium,Warm,Dark / Hyperpigmented,Dry,6,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Special occasion
P233,Jawa Tengah,Coral,Medium,Olive,Light,Textured / Lines,6,Color: Mauve | Intensity: Natural | Finish: Glossy | Mood: Bold | Occasion: Special occasion
P234,Bali,Coral,Medium,Warm,Medium,Dry,6,Color: Coral | Intensity: Medium | Finish: Glowy | Mood: Soft | Occasion: Campus / Work
P235,Kalimantan Timur,Coral,Light,Cool,Light,Chapped,5,Color: Coral | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Special occasion
P236,Jawa Barat,Coral,Deep,Olive,Dark / Hyperpigmented,Normal,8,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Date
P237,Bali,Coral,Medium,Warm,Medium,Textured / Lines,6,Color: Red | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Party
P238,Sumatera Utara,Coral,Light,Cool,Light,Chapped,4,Color: Terracotta | Intensity: Natural | Finish: Glowy | Mood: Elegant | Occasion: Date
P239,Jawa Tengah,Coral,Fair,Neutral,Dark / Hyperpigmented,Normal,7,Color: Pink | Intensity: Medium | Finish: Satin | Mood: Fresh | Occasion: Date
P240,Jawa Barat,Coral,Deep,Warm,Medium,Textured / Lines,8,Color: Red | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Party
P241,Jawa Timur,Burgundy,Light,Warm,Two-Toned,Dry,4,Color: Mauve | Intensity: Bold | Finish: Matte | Mood: Fresh | Occasion: Everyday
P242,Banten,Burgundy,Tan,Warm,Light,Normal,4,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Fresh | Occasion: Date
P243,Jawa Tengah,Burgundy,Tan,Cool,Two-Toned,Normal,8,Color: Pink | Intensity: Natural | Finish: Satin | Mood: Fun | Occasion: Special occasion
P244,Bali,Burgundy,Tan,Neutral,Dark / Hyperpigmented,Chapped,7,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Bold | Occasion: Special occasion
P245,Kalimantan Timur,Burgundy,Fair,Warm,Two-Toned,Dry,7,Color: Red | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Special occasion
P246,Sumatera Utara,Burgundy,Medium,Cool,Light,Normal,5,Color: Terracotta | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Date
P247,Jawa Barat,Burgundy,Light,Cool,Light,Dry,8,Color: Nude | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Party
P248,Sumatera Utara,Burgundy,Light,Neutral,Medium,Dry,5,Color: Nude | Intensity: Medium | Finish: Matte | Mood: Energetic | Occasion: Campus / Work
P249,Jawa Barat,Burgundy,Medium,Warm,Dark / Hyperpigmented,Chapped,3,Color: Berry | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Special occasion
P250,Sumatera Utara,Burgundy,Medium,Warm,Medium,Normal,6,Color: Mauve | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Campus / Work
P251,Jawa Timur,Burgundy,Medium,Neutral,Medium,Normal,4,Color: Mauve | Intensity: Natural | Finish: Glossy | Mood: Soft | Occasion: Everyday
P252,Jawa Tengah,Burgundy,Light,Cool,Light,Normal,4,Color: Berry | Intensity: Medium | Finish: Glowy | Mood: Elegant | Occasion: Party
P253,Banten,Burgundy,Medium,Neutral,Dark / Hyperpigmented,Normal,5,Color: Brown | Intensity: Medium | Finish: Glossy | Mood: Fresh | Occasion: Date
P254,Banten,Burgundy,Light,Warm,Medium,Dry,6,Color: Berry | Intensity: Medium | Finish: Glowy | Mood: Bold | Occasion: Party
P255,DI Yogyakarta,Burgundy,Medium,Neutral,Dark / Hyperpigmented,Chapped,5,Color: Red | Intensity: Medium | Finish: Glowy | Mood: Energetic | Occasion: Special occasion
P256,Banten,Burgundy,Light,Neutral,Light,Chapped,7,Color: Terracotta | Intensity: Natural | Finish: Glowy | Mood: Elegant | Occasion: Campus / Work
P257,Sulawesi Selatan,Burgundy,Light,Cool,Medium,Dry,6,Color: Berry | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Date
P258,Banten,Burgundy,Fair,Warm,Light,Normal,5,Color: Terracotta | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Party
P259,DKI Jakarta,Burgundy,Deep,Warm,Light,Chapped,6,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Party
P260,Sumatera Utara,Burgundy,Medium,Cool,Medium,Dry,6,Color: Red | Intensity: Natural | Finish: Satin | Mood: Elegant | Occasion: Party
P261,DKI Jakarta,Cappucino,Light,Neutral,Light,Normal,6,Color: Pink | Intensity: Natural | Finish: Glossy | Mood: Energetic | Occasion: Party
P262,Kalimantan Timur,Cappucino,Light,Cool,Dark / Hyperpigmented,Dry,5,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Energetic | Occasion: Date
P263,Bali,Cappucino,Light,Warm,Two-Toned,Normal,8,Color: Red | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Date
P264,Banten,Cappucino,Tan,Cool,Medium,Dry,7,Color: Pink | Intensity: Natural | Finish: Satin | Mood: Fun | Occasion: Special occasion
P265,DI Yogyakarta,Cappucino,Tan,Warm,Medium,Dry,6,Color: Pink | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Party
P266,Jawa Tengah,Cappucino,Tan,Warm,Medium,Dry,5,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Everyday
P267,Jawa Timur,Cappucino,Medium,Olive,Light,Normal,6,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Fresh | Occasion: Date
P268,Sumatera Utara,Cappucino,Deep,Warm,Dark / Hyperpigmented,Dry,6,Color: Coral | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Campus / Work
P269,Sumatera Utara,Cappucino,Light,Cool,Medium,Dry,5,Color: Brown | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Campus / Work
P270,Bali,Cappucino,Light,Warm,Two-Toned,Normal,4,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Special occasion
P271,Jawa Timur,Cappucino,Medium,Warm,Two-Toned,Dry,7,Color: Pink | Intensity: Natural | Finish: Glossy | Mood: Fun | Occasion: Party
P272,Sulawesi Selatan,Cappucino,Light,Warm,Light,Dry,7,Color: Terracotta | Intensity: Bold | Finish: Matte | Mood: Soft | Occasion: Date
P273,Jawa Barat,Cappucino,Light,Warm,Medium,Dry,5,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Soft | Occasion: Special occasion
P274,Kalimantan Timur,Cappucino,Light,Warm,Light,Dry,5,Color: Red | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Special occasion
P275,Jawa Timur,Cappucino,Medium,Neutral,Medium,Chapped,8,Color: Red | Intensity: Natural | Finish: Glossy | Mood: Bold | Occasion: Campus / Work
P276,Sumatera Utara,Cappucino,Light,Warm,Medium,Normal,7,Color: Coral | Intensity: Natural | Finish: Glossy | Mood: Soft | Occasion: Special occasion
P277,Banten,Cappucino,Fair,Warm,Medium,Textured / Lines,6,Color: Coral | Intensity: Bold | Finish: Matte | Mood: Elegant | Occasion: Campus / Work
P278,Kalimantan Timur,Cappucino,Light,Cool,Light,Normal,7,Color: Red | Intensity: Natural | Finish: Glossy | Mood: Elegant | Occasion: Everyday
P279,DKI Jakarta,Cappucino,Light,Cool,Medium,Dry,6,Color: Nude | Intensity: Bold | Finish: Glossy | Mood: Bold | Occasion: Campus / Work
P280,Kalimantan Timur,Cappucino,Fair,Warm,Medium,Dry,6,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Date
P281,Bali,Jazz,Deep,Warm,Dark / Hyperpigmented,Dry,4,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Everyday
P282,Jawa Timur,Jazz,Tan,Warm,Dark / Hyperpigmented,Chapped,6,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Soft | Occasion: Date
P283,Kalimantan Timur,Jazz,Light,Cool,Dark / Hyperpigmented,Dry,6,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Bold | Occasion: Date
P284,DI Yogyakarta,Jazz,Fair,Olive,Dark / Hyperpigmented,Dry,7,Color: Berry | Intensity: Bold | Finish: Matte | Mood: Energetic | Occasion: Campus / Work
P285,Bali,Jazz,Light,Neutral,Light,Dry,4,Color: Coral | Intensity: Medium | Finish: Satin | Mood: Soft | Occasion: Everyday
P286,DKI Jakarta,Jazz,Deep,Warm,Two-Toned,Dry,6,Color: Terracotta | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Campus / Work
P287,Sumatera Utara,Jazz,Medium,Neutral,Dark / Hyperpigmented,Dry,6,Color: Berry | Intensity: Natural | Finish: Satin | Mood: Fun | Occasion: Special occasion
P288,Bali,Jazz,Light,Neutral,Dark / Hyperpigmented,Chapped,5,Color: Coral | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Party
P289,Sulawesi Selatan,Jazz,Medium,Warm,Medium,Normal,7,Color: Brown | Intensity: Natural | Finish: Glossy | Mood: Fresh | Occasion: Everyday
P290,Banten,Jazz,Light,Warm,Medium,Dry,4,Color: Mauve | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Party
P291,Jawa Timur,Jazz,Light,Warm,Light,Normal,3,Color: Berry | Intensity: Medium | Finish: Glossy | Mood: Fresh | Occasion: Party
P292,DKI Jakarta,Jazz,Medium,Neutral,Medium,Dry,7,Color: Brown | Intensity: Medium | Finish: Glossy | Mood: Fresh | Occasion: Party
P293,Sulawesi Selatan,Jazz,Medium,Cool,Light,Normal,5,Color: Coral | Intensity: Bold | Finish: Matte | Mood: Soft | Occasion: Everyday
P294,DI Yogyakarta,Jazz,Light,Warm,Medium,Dry,7,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Soft | Occasion: Campus / Work
P295,Kalimantan Timur,Jazz,Medium,Neutral,Two-Toned,Normal,6,Color: Terracotta | Intensity: Bold | Finish: Matte | Mood: Fresh | Occasion: Everyday
P296,Jawa Timur,Jazz,Light,Warm,Medium,Chapped,6,Color: Mauve | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Special occasion
P297,Sulawesi Selatan,Jazz,Fair,Olive,Medium,Normal,6,Color: Berry | Intensity: Bold | Finish: Glossy | Mood: Soft | Occasion: Party
P298,Kalimantan Timur,Jazz,Light,Warm,Medium,Normal,6,Color: Berry | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Special occasion
P299,Banten,Jazz,Light,Cool,Dark / Hyperpigmented,Normal,8,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Everyday
P300,DI Yogyakarta,Jazz,Light,Warm,Light,Dry,6,Color: Coral | Intensity: Bold | Finish: Matte | Mood: Elegant | Occasion: Party
P301,Banten,Rose Pink,Medium,Warm,Medium,Normal,4,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Elegant | Occasion: Party
P302,Jawa Timur,Rose Pink,Deep,Cool,Dark / Hyperpigmented,Dry,6,Color: Terracotta | Intensity: Natural | Finish: Satin | Mood: Fresh | Occasion: Special occasion
P303,Jawa Barat,Rose Pink,Deep,Cool,Dark / Hyperpigmented,Chapped,5,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Fun | Occasion: Campus / Work
P304,DI Yogyakarta,Rose Pink,Light,Warm,Medium,Dry,4,Color: Terracotta | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Everyday
P305,Jawa Timur,Rose Pink,Medium,Warm,Dark / Hyperpigmented,Dry,5,Color: Brown | Intensity: Bold | Finish: Glossy | Mood: Bold | Occasion: Party
P306,Sulawesi Selatan,Rose Pink,Medium,Warm,Medium,Dry,4,Color: Berry | Intensity: Natural | Finish: Glowy | Mood: Elegant | Occasion: Date
P307,Sulawesi Selatan,Rose Pink,Medium,Neutral,Light,Normal,6,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Campus / Work
P308,Banten,Rose Pink,Fair,Cool,Medium,Dry,5,Color: Coral | Intensity: Natural | Finish: Glossy | Mood: Energetic | Occasion: Campus / Work
P309,Bali,Rose Pink,Medium,Cool,Two-Toned,Normal,4,Color: Mauve | Intensity: Medium | Finish: Glossy | Mood: Energetic | Occasion: Everyday
P310,Kalimantan Timur,Rose Pink,Medium,Warm,Medium,Dry,6,Color: Terracotta | Intensity: Medium | Finish: Glossy | Mood: Soft | Occasion: Date
P311,DKI Jakarta,Rose Pink,Light,Warm,Light,Chapped,8,Color: Pink | Intensity: Medium | Finish: Glowy | Mood: Bold | Occasion: Date
P312,Bali,Rose Pink,Light,Warm,Light,Normal,6,Color: Brown | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Date
P313,Jawa Timur,Rose Pink,Fair,Neutral,Light,Dry,5,Color: Brown | Intensity: Natural | Finish: Matte | Mood: Bold | Occasion: Special occasion
P314,Jawa Tengah,Rose Pink,Tan,Neutral,Medium,Normal,7,Color: Nude | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Party
P315,Jawa Barat,Rose Pink,Deep,Neutral,Medium,Dry,4,Color: Nude | Intensity: Bold | Finish: Satin | Mood: Fun | Occasion: Party
P316,Bali,Rose Pink,Light,Warm,Medium,Textured / Lines,6,Color: Coral | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Everyday
P317,Jawa Barat,Rose Pink,Light,Cool,Light,Dry,5,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Soft | Occasion: Party
P318,Jawa Timur,Rose Pink,Medium,Warm,Dark / Hyperpigmented,Chapped,4,Color: Terracotta | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Date
P319,DKI Jakarta,Rose Pink,Deep,Olive,Medium,Chapped,5,Color: Coral | Intensity: Bold | Finish: Matte | Mood: Energetic | Occasion: Date
P320,Bali,Rose Pink,Medium,Cool,Light,Chapped,6,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Campus / Work
P321,Jawa Barat,Latte,Medium,Neutral,Light,Normal,6,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Bold | Occasion: Date
P322,Jawa Timur,Latte,Light,Warm,Light,Textured / Lines,3,Color: Berry | Intensity: Medium | Finish: Satin | Mood: Soft | Occasion: Special occasion
P323,DI Yogyakarta,Latte,Light,Warm,Medium,Dry,6,Color: Berry | Intensity: Natural | Finish: Glowy | Mood: Bold | Occasion: Everyday
P324,Jawa Timur,Latte,Tan,Cool,Two-Toned,Chapped,6,Color: Mauve | Intensity: Medium | Finish: Satin | Mood: Fresh | Occasion: Date
P325,DI Yogyakarta,Latte,Light,Neutral,Dark / Hyperpigmented,Chapped,6,Color: Mauve | Intensity: Medium | Finish: Glossy | Mood: Energetic | Occasion: Special occasion
P326,Kalimantan Timur,Latte,Medium,Warm,Light,Dry,6,Color: Coral | Intensity: Bold | Finish: Glossy | Mood: Bold | Occasion: Campus / Work
P327,DKI Jakarta,Latte,Light,Olive,Medium,Chapped,5,Color: Mauve | Intensity: Medium | Finish: Satin | Mood: Fun | Occasion: Special occasion
P328,Banten,Latte,Fair,Neutral,Two-Toned,Dry,8,Color: Coral | Intensity: Medium | Finish: Satin | Mood: Soft | Occasion: Campus / Work
P329,Bali,Latte,Light,Cool,Medium,Normal,6,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Special occasion
P330,Bali,Latte,Light,Warm,Light,Normal,6,Color: Brown | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Party
P331,Sulawesi Selatan,Latte,Deep,Warm,Medium,Dry,6,Color: Pink | Intensity: Bold | Finish: Matte | Mood: Fresh | Occasion: Special occasion
P332,Sulawesi Selatan,Latte,Light,Warm,Medium,Normal,8,Color: Red | Intensity: Natural | Finish: Glossy | Mood: Elegant | Occasion: Party
P333,Jawa Barat,Latte,Light,Warm,Dark / Hyperpigmented,Dry,7,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Fresh | Occasion: Party
P334,Jawa Timur,Latte,Fair,Olive,Light,Dry,5,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Party
P335,Banten,Latte,Medium,Warm,Medium,Textured / Lines,5,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Bold | Occasion: Campus / Work
P336,Kalimantan Timur,Latte,Medium,Cool,Medium,Dry,2,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Bold | Occasion: Everyday
P337,Sulawesi Selatan,Latte,Fair,Neutral,Medium,Normal,7,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Energetic | Occasion: Party
P338,Jawa Timur,Latte,Light,Warm,Dark / Hyperpigmented,Dry,5,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Party
P339,DI Yogyakarta,Latte,Fair,Warm,Dark / Hyperpigmented,Normal,2,Color: Red | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P340,Sulawesi Selatan,Latte,Medium,Warm,Light,Normal,6,Color: Red | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Everyday
P341,Banten,Dusty,Fair,Cool,Medium,Chapped,6,Color: Terracotta | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Campus / Work
P342,Bali,Dusty,Fair,Cool,Light,Normal,5,Color: Red | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Everyday
